customer_id,tenure_months,monthly_charges,num_support_tickets,late_payments_last_6m,contract_type,internet_type,payment_method,region,auto_pay,streaming_tv,online_security,partner,dependents,churn
CUST-100000,61,116.87,2,1,One year,Fiber,Electronic check,North,0,1,0,1,0,0
CUST-100001,16,57.61,1,2,Month-to-month,DSL,Bank transfer,East,1,0,0,0,0,0
CUST-100003,28,89.54,4,1,One year,DSL,Electronic check,West,0,0,1,1,0,0
CUST-100004,19,20.72,2,3,Month-to-month,Fiber,Electronic check,East,0,1,1,1,0,0
CUST-100005,57,62.31,0,0,Two year,Fiber,Mailed check,North,1,0,0,0,0,0
CUST-100008,46,76.88,2,3,Month-to-month,DSL,Bank transfer,Central,1,1,1,0,0,0
CUST-100009,17,66.15,4,1,Month-to-month,DSL,Mailed check,East,1,0,0,0,0,0
CUST-100010,8,65.03,3,1,Month-to-month,Fiber,Electronic check,West,0,1,1,0,0,0
CUST-100011,26,93.56,1,1,Two year,Fiber,Mailed check,West,1,1,0,0,0,1
CUST-100012,10,75.24,5,2,One year,Fiber,Electronic check,South,0,1,1,1,0,0
CUST-100013,9,68.99,1,0,Two year,Fiber,Bank transfer,Central,1,1,0,0,0,0
CUST-100014,3,71.55,2,1,Month-to-month,Fiber,Electronic check,West,0,1,0,0,0,1
CUST-100015,3,112.06,1,0,Month-to-month,DSL,Electronic check,Central,0,1,1,0,1,1
CUST-100016,4,72.14,2,0,Month-to-month,Fiber,Mailed check,West,1,1,1,0,0,0
CUST-100017,66,55.65,1,3,Month-to-month,Fiber,Mailed check,West,1,0,0,1,0,1
CUST-100018,4,22.18,0,0,Two year,DSL,Bank transfer,North,1,0,1,0,1,0
CUST-100019,10,33.59,3,0,One year,Fiber,Mailed check,East,1,0,0,1,1,0
CUST-100020,22,56.79,1,3,One year,Fiber,Credit card,North,1,0,0,0,0,1
CUST-100021,36,65.4,0,0,Month-to-month,DSL,Credit card,West,1,0,0,0,0,0
CUST-100022,39,54.67,1,1,Two year,Fiber,Credit card,West,1,1,0,1,0,0
CUST-100023,13,76.43,2,0,Two year,DSL,Bank transfer,East,1,1,1,1,0,0
CUST-100025,21,46.05,3,0,Month-to-month,Fiber,Bank transfer,North,1,1,0,0,0,0
CUST-100028,32,41.43,0,1,Month-to-month,DSL,Bank transfer,East,1,0,0,1,1,1
CUST-100029,15,73.85,0,0,One year,DSL,Electronic check,West,0,0,0,0,0,0
CUST-100030,51,22.28,0,0,One year,DSL,Electronic check,West,0,0,1,1,1,0
CUST-100031,18,32.61,1,0,Two year,DSL,Credit card,East,1,1,0,0,0,0
CUST-100032,72,53.87,3,2,Month-to-month,DSL,Electronic check,North,0,1,1,1,1,1
CUST-100033,16,95.24,2,1,Month-to-month,Fiber,Mailed check,Central,1,0,1,0,1,0
CUST-100035,21,48.41,2,2,Month-to-month,DSL,Electronic check,West,0,1,1,0,0,1
CUST-100036,25,68.87,3,0,Month-to-month,DSL,Credit card,Central,1,1,1,1,0,0
CUST-100037,47,68.89,1,1,Month-to-month,Fiber,Electronic check,South,0,0,1,1,1,1
CUST-100038,21,49.16,1,0,Month-to-month,Fiber,Credit card,West,1,0,1,1,0,0
CUST-100039,9,115.67,4,0,One year,Fiber,Credit card,North,1,0,0,1,1,1
CUST-100040,15,61.63,1,0,Month-to-month,Fiber,Electronic check,Central,0,0,0,0,1,1
CUST-100041,21,70.73,1,0,Two year,Fiber,Electronic check,North,0,1,1,0,0,0
CUST-100042,27,58.36,2,0,One year,Fiber,Electronic check,East,0,0,0,1,0,0
CUST-100043,13,78.56,3,1,Month-to-month,Fiber,Mailed check,South,1,0,1,0,1,1
CUST-100044,14,97.64,2,0,Two year,DSL,Electronic check,North,0,0,1,0,1,0
CUST-100045,28,107.93,3,2,One year,Fiber,Credit card,East,1,0,0,0,0,1
CUST-100047,43,94.42,0,0,Month-to-month,Fiber,Credit card,North,1,1,0,0,0,1
CUST-100048,15,81.19,1,1,One year,Fiber,Electronic check,South,0,0,0,1,0,0
CUST-100049,34,91.39,2,0,Month-to-month,Fiber,Credit card,North,1,1,1,1,0,0
CUST-100050,22,65.79,2,2,Month-to-month,DSL,Electronic check,North,0,1,0,0,1,0
CUST-100051,17,63.51,5,0,Month-to-month,Fiber,Mailed check,South,1,0,0,0,0,0
CUST-100052,22,90.46,1,1,One year,DSL,Bank transfer,East,1,1,0,1,0,1
CUST-100054,8,105.58,1,3,One year,Fiber,Credit card,West,1,1,0,1,1,0
CUST-100055,9,72.77,2,1,One year,DSL,Electronic check,West,0,1,0,0,0,0
CUST-100056,37,65.43,1,1,Month-to-month,Fiber,Bank transfer,West,1,1,1,1,0,0
CUST-100057,18,18.0,0,0,Month-to-month,Fiber,Bank transfer,South,1,0,0,1,0,0
CUST-100058,27,29.33,1,0,Month-to-month,Fiber,Bank transfer,Central,1,1,0,0,0,1
CUST-100059,36,58.54,2,2,Month-to-month,Fiber,Electronic check,North,0,0,0,1,0,0
CUST-100060,22,41.57,2,1,One year,DSL,Electronic check,West,0,0,1,0,0,0
CUST-100061,34,87.54,0,0,Month-to-month,DSL,Electronic check,North,0,1,1,1,0,1
CUST-100062,24,36.56,2,0,Month-to-month,DSL,Electronic check,West,0,1,0,1,0,0
CUST-100063,25,55.97,4,2,One year,Fiber,Electronic check,North,0,1,1,0,0,0
CUST-100064,50,56.91,3,0,One year,DSL,Credit card,South,1,0,1,0,1,0
CUST-100065,20,96.91,1,1,Month-to-month,Fiber,Mailed check,South,1,0,1,0,0,0
CUST-100066,37,53.4,1,3,Month-to-month,Fiber,Bank transfer,West,1,1,1,1,1,0
CUST-100067,7,78.86,0,1,Month-to-month,Fiber,Electronic check,North,0,1,1,1,0,0
CUST-100068,27,72.7,0,0,Month-to-month,DSL,Electronic check,South,0,0,0,0,0,1
CUST-100070,72,88.41,0,0,Month-to-month,Fiber,Electronic check,West,0,1,1,0,0,0
CUST-100071,7,67.2,0,1,Month-to-month,DSL,Electronic check,Central,0,1,0,0,0,0
CUST-100072,18,27.29,3,0,Two year,DSL,Mailed check,West,1,0,0,0,0,0
CUST-100073,11,62.44,0,0,Month-to-month,DSL,Mailed check,East,1,1,1,1,1,0
CUST-100074,21,67.52,1,0,Month-to-month,DSL,Credit card,South,1,0,1,1,0,0
CUST-100075,41,74.86,1,1,Month-to-month,DSL,Electronic check,Central,0,1,0,1,0,1
CUST-100076,51,50.3,2,1,Month-to-month,DSL,Mailed check,North,1,1,1,1,0,0
CUST-100077,52,95.38,2,2,One year,DSL,Electronic check,North,0,0,0,0,0,0
CUST-100078,7,68.33,3,2,Month-to-month,Fiber,Electronic check,South,0,1,1,0,0,1
CUST-100080,15,57.0,2,3,One year,Fiber,Electronic check,East,0,1,1,0,1,0
