Price,Age,Mileage,Fuel Type,Horse Power,Metalic,Automatic,CC,Doors,Weight,derived_col
13500,23,46986,Diesel,90,1,0,2000,3,1165,0.2873196271229728
13750,23,72937,Diesel,90,1,0,2000,3,1165,0.18851885874110533
13950,24,41711,Diesel,90,1,0,2000,3,1165,0.334444151422886
14950,26,48000,Diesel,90,0,0,2000,3,1165,0.31145833333333334
13750,30,38500,Diesel,90,0,0,2000,3,1170,0.35714285714285715
12950,32,61000,Diesel,90,0,0,2000,3,1170,0.2122950819672131
16900,27,94612,Diesel,90,1,0,2000,3,1245,0.17862427599036063
18600,30,75889,Diesel,90,1,0,2000,3,1245,0.24509480952443702
21500,27,19700,Petrol,192,0,0,1800,3,1185,1.0913705583756346
12950,23,71138,Diesel,69,0,0,1900,3,1105,0.18204054092046446
20950,25,31461,Petrol,192,0,0,1800,3,1185,0.6659038174247481
19950,22,43610,Petrol,192,0,0,1800,3,1185,0.45746388443017655
19600,25,32189,Petrol,192,0,0,1800,3,1185,0.6089036627419304
21500,31,23000,Petrol,192,1,0,1800,3,1185,0.9347826086956522
22500,32,34131,Petrol,192,1,0,1800,3,1185,0.6592247516920102
22000,28,18739,Petrol,192,0,0,1800,3,1185,1.174022092961204
22750,30,34000,Petrol,192,1,0,1800,3,1185,0.6691176470588235
17950,24,21716,Petrol,110,1,0,1600,3,1105,0.8265794805673237
16750,24,25563,Petrol,110,0,0,1600,3,1065,0.6552439072096389
16950,30,64359,Petrol,110,1,0,1600,3,1105,0.2633664289376777
15950,30,67660,Petrol,110,1,0,1600,3,1105,0.23573751108483595
16950,29,43905,Petrol,110,0,1,1600,3,1170,0.38606081311923474
15950,28,56349,Petrol,110,1,0,1600,3,1120,0.28305737457630126
16950,28,32220,Petrol,110,1,0,1600,3,1120,0.5260707635009311
16250,29,25813,Petrol,110,1,0,1600,3,1120,0.6295277573315771
15950,25,28450,Petrol,110,1,0,1600,3,1120,0.5606326889279437
17495,27,34545,Petrol,110,1,0,1600,3,1120,0.5064408742220292
15750,29,41415,Petrol,110,1,0,1600,3,1120,0.38029699384281057
16950,28,44142,Petrol,110,0,0,1600,3,1120,0.3839880386026913
17950,30,11090,Petrol,110,1,0,1600,3,1120,1.618575293056808
12950,29,9750,Petrol,97,1,0,1400,3,1100,1.3282051282051281
15750,22,35199,Petrol,97,1,0,1400,3,1100,0.4474558936333419
15950,27,29510,Petrol,97,1,0,1400,3,1100,0.5404947475432057
14950,26,32692,Petrol,97,1,0,1400,3,1100,0.4572984216322036
15500,22,41000,Petrol,97,1,0,1400,3,1100,0.3780487804878049
15750,26,43000,Petrol,97,0,0,1400,3,1100,0.36627906976744184
15950,25,25000,Petrol,97,0,0,1400,3,1100,0.638
14950,23,10000,Petrol,97,1,0,1400,3,1100,1.495
15750,32,25329,Petrol,97,1,0,1400,3,1100,0.6218168897311382
14750,27,27500,Petrol,97,0,0,1400,3,1100,0.5363636363636364
13950,22,49059,Petrol,97,0,0,1400,3,1100,0.2843514951385067
16750,27,44068,Petrol,97,1,0,1400,3,1100,0.3800943995643097
13950,22,46961,Petrol,97,0,0,1400,3,1100,0.29705500308766847
16950,27,110404,Diesel,90,0,0,2000,5,1255,0.15352704612151732
16950,22,100250,Diesel,90,0,0,2000,5,1255,0.1690773067331671
19000,23,84000,Diesel,90,0,0,2000,5,1270,0.2261904761904762
17950,27,79375,Diesel,90,1,0,2000,5,1255,0.22614173228346457
15800,22,75048,Petrol,97,1,0,1400,5,1110,0.21053192623387698
17950,22,72215,Diesel,90,1,0,2000,5,1255,0.24856331787024857
21950,31,64982,Petrol,192,1,0,1800,5,1195,0.33778584838878456
17950,22,62636,Diesel,90,1,0,2000,5,1255,0.28657640973242227
15750,30,57086,Petrol,97,1,0,1400,5,1110,0.2758995200224223
20500,26,56000,Petrol,110,1,1,1600,5,1180,0.36607142857142855
21950,27,49866,Petrol,192,1,0,1800,5,1195,0.44017968154654474
15500,25,49163,Petrol,110,0,1,1600,5,1165,0.3152777495270834
13250,32,45725,Petrol,110,1,0,1600,5,1075,0.2897758337889557
15250,28,43210,Petrol,97,0,0,1400,5,1110,0.35292756306410555
15250,26,43000,Petrol,97,0,0,1400,5,1110,0.3546511627906977
18950,23,39704,Petrol,110,1,1,1600,5,1180,0.47728188595607496
15999,30,38950,Petrol,110,1,0,1600,5,1130,0.4107573812580231
14950,22,37400,Petrol,97,1,0,1400,5,1110,0.3997326203208556
16500,27,37177,Petrol,110,0,0,1600,5,1130,0.44382279366274846
18750,31,36544,Petrol,110,1,0,1600,5,1130,0.5130801225919439
17950,30,33511,Petrol,110,1,0,1600,5,1130,0.5356450120855838
17950,27,32809,Petrol,97,1,0,1400,5,1110,0.547105977018501
16950,26,32181,Petrol,110,1,0,1600,5,1075,0.5267083061433765
18950,28,30993,Petrol,110,1,0,1600,5,1130,0.6114283870551415
14950,22,30400,Petrol,97,1,0,1400,5,1110,0.4917763157894737
22250,22,30000,Diesel,110,1,0,2000,5,1275,0.7416666666666667
15950,25,29719,Petrol,97,1,0,1400,5,1110,0.5366936976345099
15950,28,29206,Petrol,97,1,0,1400,5,1110,0.5461206601383277
12995,32,29198,Petrol,97,1,0,1400,5,1060,0.4450647304609905
18950,28,28817,Petrol,110,1,0,1598,5,1130,0.6575979456570774
15750,23,28227,Petrol,97,1,0,1400,5,1110,0.557976405569136
19950,28,28000,Petrol,110,0,0,1600,5,1130,0.7125
16950,23,28000,Petrol,110,1,0,1600,5,1115,0.6053571428571428
18750,31,25266,Petrol,110,1,0,1600,5,1130,0.742104013298504
18450,27,23489,Petrol,110,0,0,1600,5,1115,0.7854740516837668
16895,29,22575,Petrol,110,1,0,1600,5,1115,0.7483942414174972
14900,30,22000,Petrol,97,1,0,1400,5,1110,0.6772727272727272
18950,25,20019,Petrol,110,1,1,1600,5,1180,0.9466007293071582
17250,29,20000,Petrol,110,1,0,1600,5,1115,0.8625
15450,25,17003,Petrol,97,1,0,1400,5,1110,0.9086631770863965
17950,31,16238,Petrol,110,1,1,1600,5,1180,1.1054317034117502
16650,25,15414,Petrol,97,1,0,1400,5,1110,1.0801868431296224
17450,28,8537,Petrol,110,1,0,1600,5,1130,2.0440435750263557
14900,30,7000,Petrol,97,1,0,1400,5,1100,2.1285714285714286
17950,20,66966,Diesel,90,1,0,2000,3,1245,0.26804647134366694
15950,19,51884,Petrol,97,1,0,1400,3,1100,0.3074165445994912
21950,19,50005,Diesel,110,1,0,2000,3,1265,0.43895610438956106
16450,20,48110,Petrol,97,1,0,1400,3,1100,0.3419247557680316
22250,20,37500,Diesel,90,1,0,2000,3,1260,0.5933333333333334
19950,16,34472,Diesel,90,1,0,1995,3,1260,0.578730563935948
15950,20,33329,Petrol,97,1,0,1400,3,1100,0.4785622130877014
18900,20,31850,Petrol,110,0,0,1600,3,1120,0.5934065934065934
19950,17,30351,Diesel,90,1,0,1995,3,1260,0.6573094790945933
15950,19,29435,Petrol,97,1,0,1400,3,1100,0.541871921182266
15950,19,25948,Petrol,97,1,0,1400,3,1100,0.6146909203021428
18750,11,24500,Petrol,110,1,0,1600,3,1120,0.7653061224489796
17450,18,23902,Petrol,97,1,0,1400,3,1100,0.7300644297548322
18990,20,23175,Petrol,110,1,0,1600,3,1120,0.8194174757281554
16250,19,19200,Petrol,97,1,0,1400,3,1100,0.8463541666666666
18500,13,18000,Petrol,71,0,0,1400,3,1125,1.0277777777777777
18500,11,16123,Petrol,110,1,0,1600,3,1105,1.1474291384977982
19450,11,14635,Petrol,110,1,1,1600,3,1155,1.3290058079945337
16950,19,13748,Petrol,97,1,0,1400,3,1100,1.2329066045970323
18800,14,11500,Petrol,110,1,0,1600,3,1045,1.6347826086956523
17450,17,10000,Petrol,97,1,0,1400,3,1100,1.745
17950,20,7187,Petrol,110,1,0,1600,3,1105,2.4975650480033393
32500,4,1,Diesel,116,0,0,2000,5,1480,32500.0
31000,4,4000,Diesel,116,1,0,2000,5,1480,7.75
31275,4,1500,Diesel,116,1,0,2000,5,1480,20.85
24950,8,13253,Diesel,116,1,0,2000,5,1320,1.882592620538746
22950,7,10000,Diesel,116,1,0,2000,5,1270,2.295
24990,8,6000,Diesel,90,1,0,2000,5,1280,4.165
21950,8,10841,Diesel,90,1,0,2000,5,1270,2.024720966700489
17900,7,1,Petrol,110,1,0,1600,3,1105,17900.0
19250,20,63000,Diesel,90,1,0,2000,5,1255,0.3055555555555556
22250,17,57313,Diesel,110,1,0,2000,5,1275,0.3882190776961597
18950,13,57037,Petrol,110,0,0,1600,5,1115,0.33224047548082825
19950,19,51099,Diesel,90,1,0,2000,5,1255,0.39041859918980804
16350,14,40010,Petrol,110,1,0,1600,5,1115,0.4086478380404899
18950,20,39115,Petrol,110,1,0,1600,5,1130,0.4844688738335677
16950,17,36012,Petrol,110,0,0,1600,5,1130,0.4706764411862712
21750,16,36000,Petrol,110,1,0,1600,5,1130,0.6041666666666666
15950,20,36000,Petrol,110,1,0,1600,5,1075,0.44305555555555554
16500,20,35000,Petrol,97,1,0,1400,5,1110,0.4714285714285714
17950,17,33740,Petrol,97,1,0,1400,5,1135,0.532009484291642
15850,13,33477,Petrol,110,1,0,1600,5,1075,0.47345939002897514
16250,20,32627,Petrol,97,1,0,1400,5,1110,0.4980537591565268
15950,20,29797,Petrol,97,1,0,1400,5,1110,0.5352887874618251
16250,19,29441,Petrol,97,1,0,1400,5,1110,0.5519513603478142
15950,13,29371,Petrol,110,1,0,1600,4,1105,0.5430526710020088
16500,20,29000,Petrol,97,0,0,1400,5,1110,0.5689655172413793
16500,19,27821,Petrol,97,0,0,1400,5,1110,0.5930771719204917
18450,19,27371,Petrol,97,0,0,1400,5,1135,0.6740710971466151
16250,13,25170,Petrol,110,1,0,1600,5,1105,0.6456098529996027
23000,11,25000,Diesel,116,1,0,2000,5,1320,0.92
19900,20,23000,Petrol,110,1,0,1600,5,1130,0.8652173913043478
16450,20,22588,Petrol,97,1,0,1400,5,1110,0.7282627944041083
23950,19,21684,Petrol,192,1,0,1800,5,1185,1.104501014572957
19950,13,21428,Petrol,110,1,0,1600,5,1130,0.9310248273287288
18500,16,20629,Petrol,110,1,0,1600,4,1090,0.8967957729410054
18950,15,20270,Petrol,110,1,0,1600,5,1130,0.9348791317217563
16450,16,20105,Petrol,97,0,0,1400,5,1110,0.8182044267595125
20500,20,20000,Petrol,110,0,1,1600,5,1165,1.025
